Season,TeamFull,Conference,season_team_ator,season_opp_ator,total_wins
2022-2023,Illinois Fighting Illini,Big Ten,1.1281407035175879,0.8976744186046511,22
2022-2023,Indiana Hoosiers,Big Ten,1.482233502538071,0.7505197505197505,28
2022-2023,Iowa Hawkeyes,Big Ten,1.4868913857677903,1.0228136882129277,31
2022-2023,Maryland Terrapins,Big Ten,1.2780172413793103,0.8551617873651772,28
2022-2023,Michigan State Spartans,Big Ten,1.227699530516432,0.7596491228070176,16
2022-2023,Michigan Wolverines,Big Ten,1.0238095238095237,0.7491039426523297,23
2022-2023,Minnesota Golden Gophers,Big Ten,0.8856589147286822,1.0580046403712298,11
2022-2023,Nebraska Cornhuskers,Big Ten,1.0695296523517381,0.8942917547568711,18
2022-2023,Northwestern Wildcats,Big Ten,0.8820116054158608,0.9835728952772074,9
2022-2023,Ohio State Buckeyes,Big Ten,1.2753623188405796,0.7337278106508875,28
2022-2023,Penn State Nittany Lions,Big Ten,0.934,0.9081632653061225,14
2022-2023,Purdue Boilermakers,Big Ten,1.0774487471526195,0.8634361233480177,19
2022-2023,Rutgers Scarlet Knights,Big Ten,0.5769230769230769,1.291111111111111,12
2022-2023,Wisconsin Badgers,Big Ten,0.9450757575757576,0.9893162393162394,11
