Season,Date,TeamFull,Conference,Opponent,TeamScore,OpponentScore,winloss,pts_diff,TeamAssists,TeamTurnovers,OpponentAssists,OpponentTurnovers,team_ator,opp_ator
2020-2021,2021-01-07,Indiana Hoosiers,Big Ten,Penn State,85,64,1,21,24,1,11,14,24,0.7857142857142857
2020-2021,2021-02-07,Penn State Nittany Lions,Big Ten,Wisconsin,98,74,1,24,26,3,14,22,8.666666666666666,0.6363636363636364
2019-2020,2020-02-10,Northwestern Wildcats,Big Ten,Michigan State,85,55,1,30,19,3,10,15,6.333333333333333,0.6666666666666666
2020-2021,2021-02-20,Maryland Terrapins,Big Ten,Minnesota,94,62,1,32,26,5,12,11,5.2,1.0909090909090908
2020-2021,2021-03-13,Maryland Terrapins,Big Ten,Iowa,104,84,1,20,29,6,20,17,4.833333333333333,1.1764705882352942
2020-2021,2021-01-24,Michigan State Spartans,Big Ten,Wisconsin,94,62,1,32,19,4,13,16,4.75,0.8125
2020-2021,2021-02-17,Northwestern Wildcats,Big Ten,Nebraska,64,71,0,-7,19,4,16,25,4.75,0.64
2020-2021,2021-02-18,Iowa Hawkeyes,Big Ten,Penn State,96,78,1,18,29,8,20,10,3.625,2
2017-2018,2018-02-14,Minnesota Golden Gophers,Big Ten,Michigan,93,87,1,6,18,5,19,14,3.6,1.3571428571428572
2019-2020,2020-02-10,Michigan Wolverines,Big Ten,Minnesota,77,52,1,25,25,7,9,12,3.5714285714285716,0.75
2022-2023,2022-12-30,Maryland Terrapins,Big Ten,Minnesota,107,85,1,22,21,6,19,23,3.5,0.8260869565217391
2018-2019,2019-01-09,Michigan State Spartans,Big Ten,Minnesota,86,68,1,18,28,8,9,19,3.5,0.47368421052631576
2017-2018,2018-01-07,Iowa Hawkeyes,Big Ten,Illinois,84,71,1,13,24,7,11,11,3.4285714285714284,1
2017-2018,2018-01-31,Ohio State Buckeyes,Big Ten,Penn State,94,64,1,30,23,7,9,14,3.2857142857142856,0.6428571428571429
2020-2021,2021-02-21,Penn State Nittany Lions,Big Ten,Nebraska,72,87,0,-15,16,5,19,9,3.2,2.111111111111111
