Season,Date,TeamFull,Conference,Opponent,TeamScore,OpponentScore,winloss,pts_diff,TeamAssists,TeamTurnovers,OpponentAssists,OpponentTurnovers,team_ator,opp_ator
2020-2021,2021-01-07,Indiana Hoosiers,Big Ten,Penn State,85,64,1,21,24,1,11,14,24,0.7857142857142857
2020-2021,2021-02-07,Penn State Nittany Lions,Big Ten,Wisconsin,98,74,1,24,26,3,14,22,8.666666666666666,0.6363636363636364
2021-2022,2021-11-18,Maryland Terrapins,Big Ten,UNC Wilmington,108,66,1,42,23,3,14,16,7.666666666666667,0.875
2020-2021,2020-12-02,Ohio State Buckeyes,Big Ten,Kent State,103,47,1,56,23,3,5,13,7.666666666666667,0.38461538461538464
2019-2020,2020-02-10,Northwestern Wildcats,Big Ten,Michigan State,85,55,1,30,19,3,10,15,6.333333333333333,0.6666666666666666
2017-2018,2017-12-11,Maryland Terrapins,Big Ten,Loyola (MD),114,45,1,69,37,6,10,23,6.166666666666667,0.43478260869565216
2020-2021,2021-02-20,Maryland Terrapins,Big Ten,Minnesota,94,62,1,32,26,5,12,11,5.2,1.0909090909090908
2020-2021,2021-03-13,Maryland Terrapins,Big Ten,Iowa,104,84,1,20,29,6,20,17,4.833333333333333,1.1764705882352942
2017-2018,2017-12-08,Purdue Boilermakers,Big Ten,Valparaiso,95,49,1,46,24,5,13,12,4.8,1.0833333333333333
2020-2021,2021-01-24,Michigan State Spartans,Big Ten,Wisconsin,94,62,1,32,19,4,13,16,4.75,0.8125
